city,temperature_c,feels_like_c,humidity_pct,weather,wind_speed,extracted_at,heat_index
Chennai,36.56,43.56,48,overcast clouds,2.68,2026-06-09 05-44-38,
Hyderabad,30.84,33.16,54,overcast clouds,8.14,2026-06-09 05-44-38,
Tirunelveli,34.38,36.37,41,overcast clouds,3.9,2026-06-09 05-44-38,
Bengaluru,27.09,28.59,65,overcast clouds,18.33,2026-06-09 05-44-38,
Mumbai,31.26,37.38,67,broken clouds,5.7,2026-06-09 05-44-38,
Delhi,41.97,41.5,18,clear sky,6.09,2026-06-09 05-44-39,
Madurai,34.76,36.77,40,overcast clouds,7.45,2026-06-09 05-44-39,
Hyderabad,30.84,33.16,54,overcast clouds,8.14,2026-06-09 05-46-04,
Delhi,41.97,41.5,18,clear sky,6.09,2026-06-09 05-46-04,
Bengaluru,27.09,28.59,65,overcast clouds,18.33,2026-06-09 05-46-04,
Mumbai,31.26,37.38,67,broken clouds,5.7,2026-06-09 05-46-04,
Chennai,36.56,43.56,48,overcast clouds,2.68,2026-06-09 05-46-04,
Theni,32.78,35.31,48,overcast clouds,6.7,2026-06-09 05-46-04,
Madurai,34.76,36.77,40,overcast clouds,7.45,2026-06-09 05-46-04,
Tirunelveli,34.38,36.37,41,overcast clouds,3.9,2026-06-09 05-46-04,
Bengaluru,28.46,30.55,63,overcast clouds,18.33,2026-06-09 05-59-49,
Theni,31.2,34.28,56,overcast clouds,6.13,2026-06-09 05-59-49,
Chennai,37.28,44.28,47,overcast clouds,3.58,2026-06-09 05-59-49,
Tirunelveli,34.32,36.26,41,overcast clouds,4.65,2026-06-09 05-59-49,
Mumbai,31.52,38.05,67,broken clouds,5.22,2026-06-09 05-59-49,
Madurai,33.83,36.2,44,overcast clouds,7.63,2026-06-09 05-59-49,
Hyderabad,33.64,36.12,45,overcast clouds,7.3,2026-06-09 05-59-49,
Delhi,42.29,40.5,14,clear sky,5.08,2026-06-09 05-59-49,
Tirunelveli,34.32,36.26,41,overcast clouds,4.65,2026-06-09 06-05-23,
Bengaluru,28.43,30.23,61,overcast clouds,18.33,2026-06-09 06-05-23,
Chennai,37.31,44.31,47,overcast clouds,2.24,2026-06-09 06-05-23,
Hyderabad,33.64,36.12,45,overcast clouds,7.3,2026-06-09 06-05-24,
Delhi,42.29,40.5,14,clear sky,5.08,2026-06-09 06-05-24,
Theni,31.2,34.28,56,overcast clouds,6.13,2026-06-09 06-05-24,
Mumbai,31.52,38.05,67,broken clouds,5.22,2026-06-09 06-05-24,
Madurai,33.83,36.2,44,overcast clouds,7.63,2026-06-09 06-05-24,
Mumbai,31.66,38.1,66,broken clouds,5.43,2026-06-09 07-16-07,
Tirunelveli,35.31,37.49,39,overcast clouds,5.69,2026-06-09 07-16-07,
Bengaluru,29.18,31.18,59,overcast clouds,17.43,2026-06-09 07-16-07,
Madurai,34.38,36.95,43,overcast clouds,8.06,2026-06-09 07-16-07,
Theni,31.37,34.37,55,overcast clouds,6.74,2026-06-09 07-16-07,
Chennai,37.89,44.89,45,overcast clouds,2.24,2026-06-09 07-16-07,
Delhi,43.36,41.44,13,clear sky,5.78,2026-06-09 07-16-07,
Hyderabad,34.4,36.69,42,overcast clouds,7.28,2026-06-09 07-16-07,
Theni,31.37,34.37,55,overcast clouds,6.74,2026-06-09 07-19-28,
Mumbai,31.66,38.1,66,broken clouds,5.43,2026-06-09 07-19-28,
Delhi,43.36,41.44,13,clear sky,5.78,2026-06-09 07-19-28,
Bengaluru,29.18,31.34,60,overcast clouds,17.43,2026-06-09 07-19-28,
Hyderabad,34.4,36.69,42,overcast clouds,7.28,2026-06-09 07-19-28,
Chennai,37.89,44.89,45,overcast clouds,2.24,2026-06-09 07-19-28,
Madurai,34.38,36.95,43,overcast clouds,8.06,2026-06-09 07-19-28,
Tirunelveli,35.31,37.49,39,overcast clouds,5.69,2026-06-09 07-19-28,
Delhi,43.36,41.44,13,clear sky,5.78,2026-06-09 07-21-29,
Hyderabad,34.4,36.69,42,overcast clouds,7.28,2026-06-09 07-21-29,
Theni,31.37,34.37,55,overcast clouds,6.74,2026-06-09 07-21-29,
Chennai,37.89,44.89,45,overcast clouds,2.24,2026-06-09 07-21-29,
Bengaluru,29.18,31.34,60,overcast clouds,17.43,2026-06-09 07-21-29,
Mumbai,31.66,38.1,66,broken clouds,5.43,2026-06-09 07-21-29,
Tirunelveli,35.31,37.49,39,overcast clouds,5.69,2026-06-09 07-21-29,
Madurai,34.38,36.95,43,overcast clouds,8.06,2026-06-09 07-21-29,
Chennai,38.2,45.2,44,overcast clouds,2.24,2026-06-09 07:43:47,
Mumbai,31.72,38.26,66,broken clouds,5.59,2026-06-09 07:43:47,
Delhi,44.41,41.49,10,clear sky,5.76,2026-06-09 07:43:47,
Bengaluru,28.7,30.97,63,overcast clouds,18.33,2026-06-09 07:43:47,
Hyderabad,33.6,35.5,43,overcast clouds,6.47,2026-06-09 07:43:47,
Tirunelveli,35.53,37.59,38,overcast clouds,5.93,2026-06-09 07:43:47,
Madurai,34.98,37.48,41,overcast clouds,8.65,2026-06-09 07:43:47,
Theni,30.92,33.96,57,overcast clouds,6.83,2026-06-09 07:43:47,
Chennai,37.86,44.86,45,overcast clouds,2.68,2026-06-09 08:00:23,
Mumbai,31.72,38.26,66,broken clouds,5.59,2026-06-09 08:00:23,
Delhi,44.41,41.49,10,clear sky,5.76,2026-06-09 08:00:24,
Bengaluru,28.68,30.5,60,overcast clouds,18.33,2026-06-09 08:00:24,
Hyderabad,33.6,35.5,43,overcast clouds,6.47,2026-06-09 08:00:24,
Tirunelveli,35.53,37.59,38,overcast clouds,5.93,2026-06-09 08:00:24,
Madurai,34.98,37.48,41,overcast clouds,8.65,2026-06-09 08:00:24,
Theni,30.92,33.96,57,overcast clouds,6.83,2026-06-09 08:00:24,
Chennai,38.79,45.79,43,overcast clouds,0.89,2026-06-09 09:58:11,Dangerous
Mumbai,31.74,38.74,68,broken clouds,6.17,2026-06-09 09:58:11,Very Hot
Delhi,45.43,41.73,8,clear sky,6.64,2026-06-09 09:58:11,Very Hot
Bengaluru,29.02,30.91,59,overcast clouds,18.33,2026-06-09 09:58:11,Warm
Hyderabad,33.67,35.9,44,overcast clouds,5.27,2026-06-09 09:58:11,Hot
Tirunelveli,34.44,36.48,41,overcast clouds,6.75,2026-06-09 09:58:11,Hot
Madurai,33.74,36.03,44,overcast clouds,9.55,2026-06-09 09:58:11,Hot
Theni,30.19,32.79,58,overcast clouds,7.01,2026-06-09 09:58:11,Hot
Chennai,29.62,34.58,72,overcast clouds,3.48,2026-06-09 17:13:36,Hot
Mumbai,30.94,37.14,69,overcast clouds,5.8,2026-06-09 17:13:36,Hot
Delhi,41.28,39.0,13,broken clouds,5.65,2026-06-09 17:13:36,Very Hot
Bengaluru,22.51,22.91,80,overcast clouds,13.86,2026-06-09 17:13:36,Comfortable
Hyderabad,27.86,30.15,68,overcast clouds,6.02,2026-06-09 17:13:36,Warm
Tirunelveli,28.92,31.69,65,broken clouds,3.49,2026-06-09 17:13:36,Warm
Madurai,29.31,31.57,60,overcast clouds,4.01,2026-06-09 17:13:36,Warm
Theni,26.2,26.2,79,broken clouds,5.14,2026-06-09 17:13:36,Comfortable
Chennai,30.59,35.71,67,overcast clouds,1.34,2026-06-09 23:04:16,Hot
Mumbai,30.53,36.09,69,broken clouds,5.52,2026-06-09 23:04:16,Hot
Delhi,37.97,35.68,15,few clouds,3.28,2026-06-09 23:04:17,Hot
Bengaluru,20.85,21.29,88,overcast clouds,12.96,2026-06-09 23:04:17,Comfortable
Hyderabad,25.63,26.34,80,overcast clouds,6.25,2026-06-09 23:04:17,Comfortable
Tirunelveli,28.35,30.64,65,overcast clouds,4.79,2026-06-09 23:04:17,Warm
Madurai,28.05,29.99,64,overcast clouds,2.45,2026-06-09 23:04:17,Warm
Theni,25.43,25.99,75,overcast clouds,4.27,2026-06-09 23:04:17,Comfortable
Chennai,34.97,41.97,56,overcast clouds,1.34,2026-06-10 12:41:20,Very Hot
Mumbai,31.37,38.37,72,overcast clouds,7.44,2026-06-10 12:41:20,Very Hot
Delhi,43.7,42.68,15,clear sky,6.67,2026-06-10 12:41:20,Very Hot
Bengaluru,27.0,28.77,69,overcast clouds,6.28,2026-06-10 12:41:21,Warm
Hyderabad,24.06,24.43,73,overcast clouds,11.79,2026-06-10 12:41:21,Comfortable
Tirunelveli,31.87,34.13,50,overcast clouds,6.33,2026-06-10 12:41:21,Hot
Madurai,31.74,33.03,46,overcast clouds,7.52,2026-06-10 12:41:21,Hot
Theni,28.46,30.69,64,overcast clouds,5.71,2026-06-10 12:41:21,Warm
Chennai,32.59,37.2,56,overcast clouds,0.89,2026-06-10 21:29:17,Hot
